,keys,CPI,CPI_E,SP500,NASDAQ
816,2009-02-01,212.705,153.583,848.893310667,1551.0
817,2011-10-01,226.75,157.065,1270.55997733,2708.816569
818,2008-10-01,216.995,152.046,931.359985333,1678.319987
819,2010-12-01,220.472,156.175,1240.670003,2632.50000033
820,2008-01-01,212.174,149.404,1340.42663567,2334.50992833
821,2010-07-01,217.605,157.111,1088.64001467,2234.22998067
822,2011-03-01,223.046,156.833,1320.18664533,2777.15999333
823,2010-11-01,219.59,155.761,1191.5799865,2526.16253675
824,2007-06-01,207.234,146.816,1505.133301,2605.650065
825,2012-04-01,229.286,157.378,1398.00996867,3049.81331367
826,2008-12-01,211.398,152.546,890.1859984,1546.6319824
827,2012-11-01,231.278,161.144,1417.983317,2993.139974
828,2013-07-01,232.749,162.398,1687.456665,3602.96337867
829,2010-10-01,219.035,156.014,1176.03332533,2448.459961
830,2008-05-01,215.208,149.781,1402.94331867,2456.83333333
831,2012-11-01,231.278,161.144,1393.72003175,2931.53753675
832,2007-04-01,205.904,148.053,1446.50667333,2477.19002267
833,2011-03-01,223.046,156.833,1306.47001133,2722.783366
834,2012-01-01,227.86,159.002,1312.64001467,2781.57999667
835,2007-03-01,205.288,147.279,1435.230021,2452.19661467
836,2010-03-01,217.353,153.358,1148.61332167,2365.02327467
837,2007-02-01,204.226,146.788,1455.06665033,2519.48665367
838,2010-03-01,217.353,153.358,1163.97998033,2384.92667633
839,2010-09-01,218.275,156.636,1104.20003267,2235.850016
840,2012-09-01,230.987,160.907,1454.10668967,3151.36336267
841,2015-12-01,238.041,171.884,2062.6400145,5047.210205
842,2008-12-01,211.398,152.546,870.475006,1527.570007
843,2015-08-01,237.703,168.727,2086.99007167,5079.973307
844,2013-09-01,233.642,162.042,1654.44331867,3655.94335933
845,2014-01-01,235.436,164.399,1844.32332367,4210.38330067
846,2008-09-01,218.877,152.102,1244.26334633,2249.39664733
847,2011-04-01,224.093,155.909,1316.20336933,2762.12996433
848,2014-04-01,236.495,165.024,1840.31665033,4079.246663
849,2013-07-01,232.749,162.398,1687.456665,3602.96337867
850,2008-08-01,218.69,151.822,1291.63748175,2441.3550415
851,2011-08-01,226.106,158.099,1219.92997233,2593.95662433
852,2011-01-01,221.187,156.677,1290.83667,2727.22330733
853,2009-11-01,217.234,154.075,1103.50250225,2164.919983
854,2014-02-01,235.621,163.979,1821.4619874,4205.0399416
855,2008-08-01,218.69,151.822,1277.9499756,2397.1020018
856,2007-08-01,207.667,145.781,1468.07332367,2571.45328767
857,2012-06-01,228.506,161.967,1328.93998233,2842.580078
858,2006-12-01,203.1,145.7,1420.1240234,2421.9520508
859,2013-06-01,232.357,161.467,1628.9100098,3436.0140138
860,2008-11-01,213.153,152.615,929.546671667,1645.91333
861,2011-02-01,221.898,156.882,1307.33333333,2757.579997
862,2008-02-01,212.687,149.38,1331.550008,2292.21004233
863,2009-04-01,212.709,149.305,840.8599855,1621.6000365
864,2011-10-01,226.75,157.065,1270.55997733,2708.816569
865,2015-03-01,235.859,168.106,2053.19661433,4871.66324867
866,2008-03-01,213.448,149.993,1327.36999533,2288.790039
867,2013-10-01,233.799,161.667,1687.67667633,3799.03670267
868,2006-02-01,199.4,139.0,1289.963379,2283.17667633
869,2013-09-01,233.642,162.042,1719.25667333,3782.583252
870,2007-08-01,207.667,145.781,1468.07332367,2571.45328767
871,2006-04-01,200.7,140.0,1308.57999667,2333.716634
872,2013-02-01,233.005,160.993,1520.2325135,3193.5149535
873,2012-02-01,228.377,157.399,1348.183309,2915.65665667
874,2010-07-01,217.605,157.111,1088.64001467,2234.22998067
875,2015-05-01,236.876,168.981,2117.21997067,5091.533203
876,2011-02-01,221.898,156.882,1307.33333333,2757.579997
877,2012-07-01,228.475,162.377,1361.130005,2956.7250975
878,2013-12-01,234.847,163.864,1777.67997233,4001.06331367
879,2006-10-01,201.9,143.8,1382.87996433,2362.10343433
880,2009-10-01,216.509,153.445,1084.636678,2156.82999667
881,2010-10-01,219.035,156.014,1183.16333,2506.01334633
882,2006-04-01,200.7,140.0,1288.619995,2320.3950195
883,2013-04-01,231.856,159.256,1589.983317,3297.45328767
884,2006-09-01,202.8,143.0,1337.106649,2263.946615
885,2015-10-01,237.949,168.526,1931.73665333,4651.67333967
886,2010-08-01,217.923,157.372,1084.10998533,2190.79329433
887,2015-10-01,237.949,168.526,2086.37337233,5074.569987
888,2011-04-01,224.093,155.909,1316.20336933,2762.12996433
889,2011-01-01,221.187,156.677,1273.97001167,2705.08658867
890,2010-10-01,219.035,156.014,1161.060018,2388.746582
891,2008-10-01,216.995,152.046,931.606669333,1685.776652
892,2010-03-01,217.353,153.358,1126.819987,2299.78002967
893,2015-02-01,235.415,166.217,2084.66666633,4850.87662767
894,2012-06-01,228.506,161.967,1338.73999033,2893.98665367
895,2006-05-01,201.3,140.7,1266.386678,2190.0
896,2015-07-01,237.734,168.777,2058.20341,4943.286621
897,2014-12-01,236.464,164.586,2084.273275,4781.91666667
898,2007-08-01,207.667,145.781,1468.646647,2557.06331367
899,2008-12-01,211.398,152.546,892.526672333,1565.33333333
900,2012-10-01,231.655,162.113,1431.329997,3048.43334933
901,2015-02-01,235.415,166.217,2053.166667,4742.06673167
902,2008-05-01,215.208,149.781,1396.493327,2505.89331033
903,2010-05-01,217.29,155.024,1083.61251825,2235.38745125
904,2014-07-01,237.259,166.455,1972.63663733,4407.190104
905,2011-09-01,226.597,157.549,1199.09334333,2535.27669267
906,2009-12-01,217.347,153.725,1123.534973,2277.664917
907,2006-03-01,199.7,139.6,1305.199992,2305.96004233
908,2007-09-01,208.547,146.834,1468.13004567,2595.32332333
909,2007-03-01,205.288,147.279,1435.230021,2452.19661467
910,2007-05-01,206.755,147.807,1516.54667167,2548.41658533
911,2010-05-01,217.29,155.024,1091.44331867,2243.806722
912,2010-02-01,217.281,153.701,1105.14335133,2237.290039
913,2015-09-01,237.489,168.254,1981.180013,4870.14013633
914,2007-06-01,207.234,146.816,1512.52998867,2601.959961
915,2006-04-01,200.7,140.0,1310.89001467,2358.76334633
916,2012-10-01,231.655,162.113,1411.21997067,2985.256673
917,2012-11-01,231.278,161.144,1356.233317,2845.62662767
918,2007-07-01,207.603,146.826,1486.56665033,2603.25
919,2009-12-01,217.347,153.725,1101.569987,2188.30004867
920,2012-10-01,231.655,162.113,1431.329997,3048.43334933
921,2015-08-01,237.703,168.727,2028.74336733,4867.52669267
922,2011-12-01,227.223,156.006,1250.183309,2630.813314
923,2010-11-01,219.59,155.761,1210.48665367,2550.83667
924,2006-03-01,199.7,139.6,1299.33667,2339.46337867
925,2008-11-01,213.153,152.615,891.0079956,1562.0799804
926,2007-01-01,203.437,146.873,1428.73669433,2445.33666967
927,2011-07-01,225.395,157.391,1299.28002933,2762.47330733
928,2013-07-01,232.749,162.398,1694.7119872,3641.4620118
929,2006-08-01,203.8,142.4,1298.403361,2157.03336567
930,2011-07-01,225.395,157.391,1314.243327,2783.12996433
931,2012-06-01,228.506,161.967,1300.56331367,2804.06005833
932,2010-10-01,219.035,156.014,1144.05664033,2371.97672533
933,2010-05-01,217.29,155.024,1091.44331867,2243.806722
934,2011-05-01,224.806,157.739,1340.873291,2823.50333667
935,2010-12-01,220.472,156.175,1254.3224795,2663.562561
