,MPAA,distributor,dt_obj,genre,production_budget,runtime,title1,title2,total_revenues,day,month,season,sleeper,year
131,PG,Buena Vista,2004-06-16,Family Adventure,110000000,120,Around the World in 80 Days (2004),Around the World in 80 Days,33170700,16,6,2,0,2004
132,PG-13,Warner Bros.,2011-04-08,Comedy,40000000,110,Arthur (2011) (2011),Arthur (2011),36061500,8,4,2,0,2011
133,PG,MGM (Weinstein),2006-12-29,Animation,86000000,103,Arthur and the Invisibles (2006),Arthur and the Invisibles,18872000,29,12,4,0,2006
134,PG-13,Weinstein Company,2011-11-25,Comedy / Drama,15000000,100,The Artist (2011),The Artist,48403300,25,11,4,1,2011
135,PG-13,Sony / Columbia,1997-12-23,Romantic Comedy,50000000,139,As Good as It Gets (1997),As Good as It Gets,271771100,23,12,4,1,1997
136,R,Rogue Pictures,2005-01-19,Action Thriller,30000000,109,Assault on Precinct 13 (2005),Assault on Precinct 13,26825400,19,1,1,0,2005
137,PG,Summit Entertainment,2009-10-23,Animation,65000000,94,Astro Boy (2009),Astro Boy,22034800,23,10,4,0,2009
138,PG,Warner Bros.,2007-02-23,Drama,13000000,104,The Astronaut Farmer (2007),The Astronaut Farmer,13722600,23,2,1,0,2007
139,R,New Line,1999-08-27,Horror Thriller,75000000,110,The Astronaut's Wife (1999),The Astronaut's Wife,18025700,27,8,3,0,1999
140,PG-13,Fox,2010-06-11,Action,110000000,117,The A-Team (2010),The A-Team,83341600,11,6,2,0,2010
141,PG-13,Paramount (DreamWorks),2012-03-09,Comedy / Drama,40000000,91,A Thousand Words (2012),A Thousand Words,19911700,9,3,1,0,2012
142,PG-13,Warner Bros.,2006-03-31,Drama,20000000,100,ATL (2006),ATL,27731800,31,3,1,0,2006
143,PG,Buena Vista,2001-06-08,Animation,120000000,95,Atlantis: The Lost Empire (2001),Atlantis:The Lost Empire,127421300,8,6,2,0,2001
144,PG-13,Rocky Mountain Pictures,2011-04-15,Drama,20000000,102,Atlas Shrugged: Part I (2011),Atlas Shrugged:Part I,5051300,15,4,2,0,2011
145,R,Sony / Screen Gems,2011-07-29,Sci-Fi Comedy,13000000,88,Attack the Block (2011),Attack the Block,1106700,29,7,3,0,2011
146,PG-13,New Line,1999-06-11,Comedy,33000000,95,Austin Powers: The Spy Who Shagged Me (1999),Austin Powers:The Spy Who Shagged Me,347996800,11,6,2,0,1999
147,PG-13,New Line,2002-07-26,Comedy,63000000,94,Austin Powers in Goldmember (2002),Austin Powers in Goldmember,315005500,26,7,3,0,2002
148,PG-13,Fox,2008-11-26,Period Adventure,130000000,165,Australia (2008),Australia,59216400,26,11,4,0,2008
149,PG-13,Buena Vista,2012-05-04,Action / Adventure,220000000,142,Marvel's The Avengers (2012),Marvel's The Avengers,659640800,4,5,2,0,2012
150,PG-13,Buena Vista,2015-05-01,Action / Adventure,250000000,141,Avengers: Age of Ultron (2015),Avengers:Age of Ultron,459260900,1,5,2,0,2015
151,PG-13,Miramax,2004-12-17,Period Drama,110000000,168,The Aviator (2004),The Aviator,138217200,17,12,4,1,2004
152,PG-13,Fox,2004-08-13,Sci-Fi Horror,60000000,87,Alien Vs. Predator (2004),Alien Vs. Predator,110921300,13,8,3,0,2004
153,R,Focus Features,2009-06-05,Comedy,17000000,98,Away We Go (2009),Away We Go,11294900,5,6,2,1,2009
154,R,Sony / Columbia,2001-06-27,Drama,16000000,129,Baby Boy (2001),Baby Boy,43558700,27,6,2,0,2001
155,PG-13,Fox,2008-08-29,Sci-Fi Thriller,70000000,90,Babylon A.D. (2008),Babylon A.D.,26926100,29,8,3,0,2008
156,PG-13,Universal,2008-04-25,Comedy,30000000,96,Baby Mama (2008),Baby Mama,72289700,25,4,2,0,2008
157,PG-13,New Line,1999-11-05,Romantic Comedy,51000000,102,The Bachelor (1999),The Bachelor,36688700,5,11,4,0,1999
158,PG,Universal,1989-11-22,Sci-Fi Adventure,40000000,108,Back to the Future Part II (1989),Back to the Future Part II,251829600,22,11,4,0,1989
159,PG,Universal,1990-05-25,Western,40000000,118,Back to the Future Part III (1990),Back to the Future Part III,177943900,25,5,2,0,1990
160,PG-13,CBS Films,2010-04-23,Romantic Comedy,35000000,98,The Back-Up Plan (2010),The Back-Up Plan,40460900,23,4,2,0,2010
161,R,Sony / Columbia,1995-04-07,Action Comedy,19000000,123,Bad Boys (1995),Bad Boys,129798700,7,4,2,0,1995
