year,winter_end,summer_start,summer_end,winter_start,valentines,presidents,easter1,easter2,easter3,easter24,mothers,independence,halloween,thanksgiving1,thanksgiving2,blackfriday,blacksaturday,blacksunday,christmaseve,christmas,newyearseve,newyears
1961,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,22-Feb,30-Mar,31-Mar,1-Apr,2-Apr,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1962,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,22-Feb,19-Apr,20-Apr,21-Apr,22-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1963,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,22-Feb,11-Apr,12-Apr,13-Apr,14-Apr,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
1964,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,22-Feb,26-Mar,27-Mar,28-Mar,29-Mar,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1965,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,22-Feb,15-Apr,16-Apr,17-Apr,18-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1966,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,22-Feb,7-Apr,8-Apr,9-Apr,10-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1967,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,22-Feb,23-Mar,24-Mar,25-Mar,26-Mar,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1968,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,22-Feb,11-Apr,12-Apr,13-Apr,14-Apr,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
1969,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,22-Feb,3-Apr,4-Apr,5-Apr,6-Apr,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1970,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,22-Feb,26-Mar,27-Mar,28-Mar,29-Mar,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1971,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,15-Feb,8-Apr,9-Apr,10-Apr,11-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1972,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,21-Feb,30-Mar,31-Mar,1-Apr,2-Apr,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1973,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,19-Feb,19-Apr,20-Apr,21-Apr,22-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1974,2-Jan,15-Jun,2-Sep,23-Dec,14-Feb,18-Feb,11-Apr,12-Apr,13-Apr,14-Apr,12-May,4-Jul,31-Oct,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,24-Dec,25-Dec,31-Dec,1-Jan
1975,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,17-Feb,27-Mar,28-Mar,29-Mar,30-Mar,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1976,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,16-Feb,15-Apr,16-Apr,17-Apr,18-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1977,2-Jan,15-Jun,5-Sep,23-Dec,14-Feb,21-Feb,7-Apr,8-Apr,9-Apr,10-Apr,8-May,4-Jul,31-Oct,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1978,2-Jan,15-Jun,4-Sep,23-Dec,14-Feb,20-Feb,23-Mar,24-Mar,25-Mar,26-Mar,14-May,4-Jul,31-Oct,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1979,2-Jan,15-Jun,3-Sep,23-Dec,14-Feb,19-Feb,12-Apr,13-Apr,14-Apr,15-Apr,13-May,4-Jul,31-Oct,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1980,2-Jan,15-Jun,1-Sep,23-Dec,14-Feb,18-Feb,3-Apr,4-Apr,5-Apr,6-Apr,11-May,4-Jul,31-Oct,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1981,2-Jan,15-Jun,7-Sep,23-Dec,14-Feb,16-Feb,16-Apr,17-Apr,18-Apr,19-Apr,10-May,4-Jul,31-Oct,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,24-Dec,25-Dec,31-Dec,1-Jan
1982,2-Jan,15-Jun,6-Sep,23-Dec,14-Feb,15-Feb,8-Apr,9-Apr,10-Apr,11-Apr,9-May,4-Jul,31-Oct,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,24-Dec,25-Dec,31-Dec,1-Jan
